series,first_issue,last_issue,total_found,gap_count,missing,unnumbered,path
The Receptionist at the Adventurer's Guild was a Slut,1,5,5,0,,0,\\tower\media\comics\Comix\The Receptionist at the Adventurer's Guild was a Slut
The Sacrificial Wife Satisfying the Geezer Deity's Dick for My Family's Happiness,1,3,3,0,,0,\\tower\media\comics\Comix\The Sacrificial Wife Satisfying the Geezer Deity's Dick for My Family's Happiness
The School Nurse Is a Sex-Crazed Succubus,1,4,4,0,,0,\\tower\media\comics\Comix\The School Nurse Is a Sex-Crazed Succubus
The Secret Of Lynn,1,6,6,0,,0,\\tower\media\comics\Comix\The Secret Of Lynn
The Share House's Secret Rule,1,5,5,0,,0,\\tower\media\comics\Comix\The Share House's Secret Rule
The Shepherds Wife,1,34,34,0,,0,\\tower\media\comics\Comix\The Shepherds Wife
The Slutty Quintuplet Conquest!,1,8,8,0,,0,\\tower\media\comics\Comix\The Slutty Quintuplet Conquest!
The Snap,0.1,3.5,6,0,,0,\\tower\media\comics\Comix\The Snap
The Snooping App,1,10,10,0,,0,\\tower\media\comics\Comix\The Snooping App
The Student Guidance Handbook,1,2,2,0,,0,\\tower\media\comics\Comix\The Student Guidance Handbook
The Unforeseen Guest,1,41,41,0,,0,\\tower\media\comics\Comix\The Unforeseen Guest
